Easting,Northing,n
513825.0009,295974.9999,2
513925.0009,294024.9999,2
514125.0009,294124.9999,2
514125.0009,294224.9999,2
514125.0009,294324.9999,2
514175.0009,294174.9999,2
514425.0009,308374.9999,2
514525.0009,306274.9999,2
514575.0009,272274.9999,2
514575.0009,296174.9999,2
514575.0009,305874.9999,2
514825.0009,293174.9999,2
514875.0009,295424.9999,2
514925.0009,295474.9999,2
514975.0009,295424.9999,2
515175.0009,295124.9999,2
515225.0009,305924.9999,2
515225.0009,309274.9999,2
515275.0009,294674.9999,2
515425.0009,294674.9999,2
515425.0009,296724.9999,2
515525.0009,305174.9999,2
515575.0009,298324.9999,2
515575.0009,298474.9999,2
515725.0009,294824.9999,2
515725.0009,295324.9999,2
515725.0009,298574.9999,2
515775.0009,295124.9999,2
515925.0009,290674.9999,2
515925.0009,290774.9999,2
515975.0009,303674.9999,2
516025.0009,286424.9999,2
516025.0009,296524.9999,2
516025.0009,304124.9999,2
516075.0009,290274.9999,2
516075.0009,298874.9999,2
516075.0009,299474.9999,2
516125.0009,299924.9999,2
516175.0009,300774.9999,2
516225.0009,297574.9999,2
516225.0009,297824.9999,2
516275.0009,289324.9999,2
516375.0009,289824.9999,2
516375.0009,297724.9999,2
516425.0009,297724.9999,2
516425.0009,304324.9999,2
516475.0009,295174.9999,2
516475.0009,302174.9999,2
516525.0009,288924.9999,2
516525.0009,299974.9999,2
516525.0009,300274.9999,2
516575.0009,261824.9999,2
516625.0009,295674.9999,2
516625.0009,300324.9999,2
516625.0009,300724.9999,2
516625.0009,300774.9999,2
516675.0009,294724.9999,2
516725.0009,283724.9999,2
516725.0009,291324.9999,2
516725.0009,301974.9999,2
516775.0009,297124.9999,2
516825.0009,302024.9999,2
516875.0009,300074.9999,2
516875.0009,304574.9999,2
516925.0009,257974.9999,2
516925.0009,294124.9999,2
516975.0009,285824.9999,2
516975.0009,294074.9999,2
516975.0009,295324.9999,2
516975.0009,295774.9999,2
516975.0009,295824.9999,2
517025.0009,296974.9999,2
517025.0009,301074.9999,2
517075.0009,304174.9999,2
517125.0009,284924.9999,2
517125.0009,299624.9999,2
517125.0009,301174.9999,2
517225.0009,271874.9999,2
517225.0009,301324.9999,2
517225.0009,302124.9999,2
517325.0009,299074.9999,2
517325.0009,304224.9999,2
517375.0009,284374.9999,2
517375.0009,287224.9999,2
517375.0009,301224.9999,2
517425.0009,283774.9999,2
517425.0009,294974.9999,2
517425.0009,296174.9999,2
517425.0009,300624.9999,2
517425.0009,300674.9999,2
517425.0009,304224.9999,2
517475.0009,259824.9999,2
517475.0009,303474.9999,2
517475.0009,304124.9999,2
517525.0009,292574.9999,2
517525.0009,292724.9999,2
517525.0009,299674.9999,2
517575.0009,296224.9999,2
517575.0009,296324.9999,2
517575.0009,297274.9999,2
517575.0009,299924.9999,2
517575.0009,302124.9999,2
517625.0009,282974.9999,2
517625.0009,296324.9999,2
517625.0009,299924.9999,2
517675.0009,295574.9999,2
517725.0009,260074.9999,2
517725.0009,282874.9999,2
517725.0009,293674.9999,2
517725.0009,295574.9999,2
517725.0009,296874.9999,2
517775.0009,293774.9999,2
